0,1,2
G2132001003,Patients 66-80 years of age with at least one claim/encounter for frailty,Pt 66-80 frailty and med dem0
G2133001003,Patients 66-80 years of age with at least one claim/encounter for frailty,Pt 66-80 frailty and adv ill0
G2134001003,Patients 66 years of age or older with at least one claim/encounter for frailty,Pt 66+ frailty and med dem  0
G2135001003,Patients 66 years of age or older with at least one claim/encounter for frailty,Pt 66+ frailty and adv ill  0
G2136001003,Back pain measured by the visual analog scale (vas) or numeric pain scale at,Bk pain vas 6-20wk <= 3     0
G2137001003,Back pain measured by the visual analog scale (vas) or numeric pain scale at,Bk pain vas 6-20wk > 3      0
G2138001003,Back pain as measured by the visual analog scale (vas) or numeric pain scale at,Bk pain vas 9-15mo <= 3     0
G2139001003,Back pain measured by the visual analog scale (vas) or numeric pain scale at,Bk pain vas 9-15mo > 3      0
G2140001003,Leg pain measured by the visual analog scale (vas) or numeric pain scale at,Leg pain vas 6-20wk <= 3    0
G2141001003,Leg pain measured by the visual analog scale (vas) or numeric pain scale at,Leg pain vas 6-20wk > 3     0
G2142001003,Functional status measured by the oswestry disability index (odi version 2.1a),Fs odi 9-15mo postop<= 22   0
G2143001003,Functional status measured by the oswestry disability index (odi version 2.1a),Fs odi 9-15mo > 22          0
G2144001003,Functional status measured by the oswestry disability index (odi version 2.1a),Fs odi 6-20wk postop <= 22  0
G2145001003,Functional status measured by the oswestry disability index (odi version 2.1a),Fsodi 6-20wk >22 or chg 30pt0
G2146001003,Leg pain as measured by the visual analog scale (vas) or numeric pain scale at,Leg pain vas 9-15mo <= 3    0
G2147001003,Leg pain measured by the visual analog scale (vas) or numeric pain scale at one,Leg pain vas 9-15mo > 3     0
G2148001003,Multimodal pain management was used,Mpm used                    0
G2149001003,Documentation of medical reason(s) for not using multimodal pain management,No mpm med rsn              0
G2150001003,Multimodal pain management was not used,No mpm                      0
G2151001003,Documentation stating patient has a diagnosis of a degenerative neurological,Dx degen neuro              0
G2152001003,Residual score for the neck impairment successfully calculated and the score,Res change sc >=0           0
G2153001003,In hospice or using hospice services during the measurement period,Hosp dur meas pd            0
G2154001003,Patient received at least one td vaccine or one tdap vaccine between nine years,Td 9 yrs start end meas     0
G2155001003,Patient had history of at least one of the following contraindications any time,Hist contraindications      0
G2156001003,Patient did not receive at least one td vaccine or one tdap vaccine between,No prior td or hx contra    0
G2157001003,Patients received both the 13-valent pneumococcal conjugate vaccine and the,Pneum vacc 12 mo 60+        0
G2157003004,the first occurrence after the age of 60 before or during the measurement perio,d
G2158001003,Patient had prior pneumococcal vaccine adverse reaction any time during or,Pneum vacc adv rx           0
G2159001003,Patient did not receive both the 13-valent pneumococcal conjugate vaccine and,No pneum vacc 12 mo 60+     0
G2160001003,Patient received at least one dose of the herpes zoster live vaccine or two,Herpzos 50+                 0
G2161001003,Patient had prior adverse reaction caused by zoster vaccine or its components,Adv rx zos                  0
G2162001003,Patient did not receive at least one dose of the herpes zoster live vaccine or,No herpzos 50+              0
G2163001003,Patient received an influenza vaccine on or between july 1 of the year prior to,Infl vacc 07/01 to 06/30    0
G2164001003,Patient had a prior influenza virus vaccine adverse reaction any time before or,Adv rx infl vacc            0
G2165001003,Patient did not receive an influenza vaccine on or between july 1 of the year,No infl vacc 07/01 to 06/30 0
G2166001003,Patient refused to participate at admission and/or discharge; patient unable to,No pt adm dx no neck fs prom0
G2167001003,Residual score for the neck impairment successfully calculated and the score,Res change sc < 0           0
G2168001003,Services performed by a physical therapist assistant in the home health setting,Svs by pt in home health    0
G2169001003,Services performed by an occupational therapist assistant in the home health,Svs by ot in home health    0
G2170001003,"Percutaneous arteriovenous fistula creation (avf), direct, any site, by tissue",Avf by tissue w thermal e   1
G2171001003,"Percutaneous arteriovenous fistula creation (avf), direct, any site, using",Avf use magnetic/art/ven    1
G2172001003,All inclusive payment for services related to highly coordinated and integrated,Tx for opioid use demo proj 0
G2173001003,Uri episodes where the patient had a comorbid condition during the 12 months,Uri w comorb 12m oth dx     0
G2174001003,Uri episodes where the patient is taking antibiotics (table 1) in the 30 days,Uri new rx antibiotic 30d   0
G2175001003,Episodes where the patient had a comorbid condition during the 12 months prior,Pt comorb dx 12m of epi     0
G2176001003,"Outpatient, ed, or observation visits that result in an inpatient admission",Outpt ed obs w inpt admit   0
G2177001003,Acute bronchitis/bronchiolitis episodes when the patient had a new or refill,Bronch w rx antibx 30d      0
G2178001003,Clinician documented that patient was not an eligible candidate for lower,Pt not elig low neuro ex    0
G2179001003,Clinician documented that patient had medical reason for not performing lower,Med doc rsn no low ex       0
G2180001003,Clinician documented that patient was not an eligible candidate for evaluation,Inelig footwr eval          0
G2181001003,Bmi not documented due to medical reason or patient refusal of height or weight,Bmi not doc medrsn ptref    0
G2182001003,Patient receiving first-time biologic and/or immune response modifier therapy,Pt 1st biolog antirheum     0
G2183001003,Documentation patient unable to communicate and informant not available,Doc pt unable comm          0
G2184001003,Patient does not have a caregiver,No caregiver                0
G2185001003,Documentation caregiver is trained and certified in dementia care,Caregiver dem trained       0
G2186001003,Patient /caregiver dyad has been referred to appropriate resources and,Pt ref app rsrcs            0
G2187001003,Patients with clinical indications for imaging of the head: head trauma,Clin ind img hd trauma      0
G2188001003,Patients with clinical indications for imaging of the head: new or change in,Pt 50 yrs w/clin ind hd     0
G2189001003,Patients with clinical indications for imaging of the head: abnormal neurologic,Img hd abnml neuro exam     0
G2190001003,Patients with clinical indications for imaging of the head: headache radiating,Ind img hd rad neck         0
G2191001003,Patients with clinical indications for imaging of the head: positional headache,sInd img hd pos hd ache      0
G2192001003,Patients with clinical indications for imaging of the head: temporal headaches,>55 yrs temp hd ache        0
G2193001003,Patients with clinical indications for imaging of the head: new onset headache,<6yr new onset hd ache      0
G2194001003,Patients with clinical indications for imaging of the head: new onset headache,New hdache ped pt dis       0
G2195001003,Patients with clinical indications for imaging of the head: occipital headache,Occip hdache child          0
G2196001003,Patient identified as an unhealthy alcohol user when screened for unhealthy,Screen unhlthy etoh use     0
G2197001003,Patient screened for unhealthy alcohol use using a systematic screening method,Screen hlthy etoh use       0
G2198001003,Documentation of medical reason(s) for not screening for unhealthy alcohol use,Med rsn no unhlthy etoh     0
G2199001003,Patient not screened for unhealthy alcohol use using a systematic screening,Not scrn etoh no rsn        0
G2200001003,Patient identified as an unhealthy alcohol user received brief counseling,Unhlthy etoh rcvd couns     0
G2201001003,"Documentation of medical reason(s) for not providing brief counseling (e.g.,",Med rsn no brief couns      0
G2202001003,Patient did not receive brief counseling if identified as an unhealthy alcohol,No rsn no brief couns       0
G2203001003,Documentation of medical reason(s) for not providing brief counseling if,Med rsn no etoh couns       0
G2204001003,Patients between 45 and 85 years of age who received a screening colonoscopy,Pt 45-85 w/ scope           0
G2205001003,Patients with pregnancy during adjuvant treatment course,Preg drng adjv trtmt        0
G2206001003,Patient received adjuvant treatment course including both chemotherapy and,Adjv trtmt chemo her2       0
G2207001003,Reason for not administering adjuvant treatment course including both,Rsn no trtmt chem her2      0
G2208001003,Patient did not receive adjuvant treatment course including both chemotherapy,No trtmt chemo and her2     0
G2209001003,Patient refused to participate,Refused to participate      0
G2210001003,Residual score for the neck impairment not measured because the patient did not,No neck fs prom no rsn      0
G2211001003,Visit complexity inherent to evaluation and management associated with medical,Complex e/m visit add on    0
G2212001003,Prolonged office or other outpatient evaluation and management service(s),Prolong outpt/office vis    1
G2213001003,Initiation of medication for the treatment of opioid use disorder in the,Initiat med assist tx in er 1
G2214001003,"Initial or subsequent psychiatric collaborative care management, first 30",Init/sub psych care m 1st 301
G2215001003,Take-home supply of nasal naloxone; 2-pack of 4mg per 0.1 ml nasal spray,Home supply nasal naloxone  1
G2216001003,Take-home supply of injectable naloxone (provision of the services by a,Home supply inject naloxon  1
G2250001003,Remote assessment of recorded video and/or images submitted by an established,"Remot img sub by pt, non e/m1"
G2251001003,"Brief communication technology-based service, e.g. virtual check-in, by a","Brief chkin, 5-10, non-e/m  1"
G2252001003,"Brief communication technology-based service, e.g. virtual check-in, by a","Brief chkin by md/qhp, 11-201"
G3001001003,"Administration and supply of tositumomab, 450 mg","Admin + supply, tositumomab 1"
G3002001003,"Chronic pain management and treatment, monthly bundle including, diagnosis;",Chronic pain mgmt 30 mins   1
G3003001003,Each additional 15 minutes of chronic pain management and treatment by a,Chronic pain mgmt addl 15m  1
G4000001003,Dermatology mips specialty set,Dermatology ss              0
G4001001003,Diagnostic radiology mips specialty set,Diagnostic rad ss           0
G4002001003,Electrophysiology cardiac specialist mips specialty set,Ep cardio ss                0
G4003001003,Emergency medicine mips specialty set,Emergency med ss            0
G4004001003,Endocrinology mips specialty set,Endocrinology ss            0
G4005001003,Family medicine mips specialty set,Family medicine ss          0
G4006001003,Gastro-enterology mips specialty set,Gastroenterology ss         0
G4007001003,General surgery mips specialty set,General surgery ss          0
G4008001003,Geriatrics mips specialty set,Geriatrics ss               0
G4009001003,Hospitalists mips specialty set,Hospitalists ss             0
G4010001003,Infectious disease mips specialty set,Infectious disease ss       0
G4011001003,Internal medicine mips specialty set,Internal medicine ss        0
G4012001003,Interventional radiology mips specialty set,Interventional rad ss       0
G4013001003,Mental/behavioral and psychiatry mips specialty set,Mntal/behav/psych hlth ss   0
G4014001003,Nephrology mips specialty set,Nephrology ss               0
G4015001003,Neurology mips specialty set,Neurology ss                0
G4016001003,Neurosurgical mips specialty set,Neurosurgical ss            0
G4017001003,Nutrition/dietician mips specialty set,Nutrition/dietician ss      0
G4018001003,Obstetrics/gynecology mips specialty set,Ob/gyn ss                   0
G4019001003,Oncology/hematology mips specialty set,Oncology/hema ss            0
G4020001003,Ophthalmology/optometry mips specialty set,Ophthalmology/optometry ss  0
G4021001003,Orthopedic surgery mips specialty set,Orthopedic surgery ss       0
G4022001003,Otolaryngology mips specialty set,Otolaryngology ss           0
G4023001003,Pathology mips specialty set,Pathology ss                0
G4024001003,Pediatrics mips specialty set,Pediatrics ss               0
G4025001003,Physical medicine mips specialty set,Physical medicine ss        0
G4026001003,Physical therapy/occupational therapy mips specialty set,Phys/occ therapy ss         0
G4027001003,Plastic surgery mips specialty set,Plastic surgery ss          0
G4028001003,Podiatry mips specialty set,Podiatry ss                 0
G4029001003,Preventive medicine mips specialty set,Preventive medicine ss      0
G4030001003,Pulmonology mips specialty set,Pulmonology ss              0
G4031001003,Radiation oncology mips specialty set,Radiation oncology ss       0
G4032001003,Rheumatology mips specialty set,Rheumatology ss             0
G4033001003,Skilled nursing facility mips specialty set,Skilled nursing facility ss 0
G4034001003,Speech language pathology mips specialty set,Speech language path ss     0
G4035001003,Thoracic surgery mips specialty set,Thoracic surgery ss         0
G4036001003,Urgent care mips specialty set,Urgent care ss              0
G4037001003,Urology mips specialty set,Urology ss                  0
G4038001003,Vascular surgery mips specialty set,Vascular surgery ss         0
G6001001003,Ultrasonic guidance for placement of radiation therapy fields,Echo guidance radiotherapy  1
G6002001003,Stereoscopic x-ray guidance for localization of target volume for the delivery,Stereoscopic x-ray guidance 1
G6003001003,"Radiation treatment delivery, single treatment area, single port or parallel",Radiation treatment delivery1
G6004001003,"Radiation treatment delivery, single treatment area, single port or parallel",Radiation treatment delivery1
G6005001003,"Radiation treatment delivery, single treatment area, single port or parallel",Radiation treatment delivery1
G6006001003,"Radiation treatment delivery, single treatment area, single port or parallel",Radiation treatment delivery1
G6007001003,"Radiation treatment delivery, 2 separate treatment areas, 3 or more ports on a",Radiation treatment delivery1
G6008001003,"Radiation treatment delivery, 2 separate treatment areas, 3 or more ports on a",Radiation treatment delivery1
G6009001003,"Radiation treatment delivery, 2 separate treatment areas, 3 or more ports on a",Radiation treatment delivery1
G6010001003,"Radiation treatment delivery, 2 separate treatment areas, 3 or more ports on a",Radiation treatment delivery1
G6011001003,"Radiation treatment delivery, 3 or more separate treatment areas, custom",Radiation treatment delivery1
G6012001003,"Radiation treatment delivery, 3 or more separate treatment areas, custom",Radiation treatment delivery1
G6013001003,"Radiation treatment delivery,3 or more separate treatment areas, custom",Radiation treatment delivery1
G6014001003,"Radiation treatment delivery, 3 or more separate treatment areas, custom",Radiation treatment delivery1
G6015001003,"Intensity modulated treatment delivery, single or multiple fields/arcs,via",Radiation tx delivery imrt  1
G6016001003,Compensator-based beam modulation treatment delivery of inverse planned,Delivery comp imrt          1
G6017001003,Intra-fraction localization and tracking of target or patient motion during,Intrafraction track motion  1
G6018001003,"Ileoscopy, through stoma; with transendoscopic stent placement (includes",Ileoscopy w/stent           1
G6019001003,"Colonoscopy through stoma; with ablation of tumor(s), polyp(s), or other",Colonoscopy lesion removal  1
G6020001003,Colonoscopy through stoma; with transendoscopic stent placement (includes,Colonoscopy w/stent         1
G6021001003,"Unlisted procedure, intestine",Unlisted px small intestine 1
G6022001003,"Sigmoidoscopy, flexible; with ablation of tumor(s), polyp(s), or other",Sigmoidoscopy w/ablate tumr 1
G6023001003,"Sigmoidoscopy, flexible; with transendoscopic stent placement (includes",Sigmoidoscopy w/stent       1
G6024001003,"Colonoscopy, flexible; proximal to splenic flexure; with ablation of tumor(s),",Lesion removal colonoscopy  1
G6025001003,"Colonoscopy, flexible, proximal to splenic flexure; with transendoscopic stent",Colonoscopy w/stent         1
G6027001003,"Anoscopy, high resolution (hra) (with magnification and chemical agent",Anoscopy hra w/spec collect 1
G6028001003,"Anoscopy, high resolution (hra) (with magnification and chemical agent",Anoscopy hra w/biopsy       1
G6030001003,Amitriptyline,Assay of amitriptyline      2
G6031001003,Benzodiazepines,Assay of benzodiazepines    2
G6032001003,Desipramine,Assay of desipramine        2
G6034001003,Doxepin,Assay of doxepin            2
G6035001003,Gold,Assay of gold               2
G6036001003,Assay of imipramine,Assay of imipramine         2
G6037001003,Nortriptyline,Assay of nortiptyline       2
G6038001003,Salicylate,Assay of salicylate         2
G6039001003,Acetaminophen,Assay of acetaminophen      2
G6040001003,Alcohol (ethanol); any specimen except breath,Assay of ethanol            2
G6041001003,"Alkaloids, urine, quantitative",Assay of urine alkaloids    2
G6042001003,Amphetamine or methamphetamine,Assay of amphetamines       2
G6043001003,"Barbiturates, not elsewhere specified",Assay of barbiturates       2
G6044001003,Cocaine or metabolite,Assay of cocaine            2
G6045001003,Dihydrocodeinone,Assay of dihydrocodeinone   2
G6046001003,Dihydromorphinone,Assay of dihydromorphinone  2
G6047001003,Dihydrotestosterone,Assay of dihydrotestosterone2
G6048001003,Dimethadione,Assay of dimethadione       2
G6049001003,Epiandrosterone,Asssay of epiandrosterone   2
G6050001003,Ethchlorvynol,Assay of ethchlorvynol      2
G6051001003,Flurazepam,Assay of flurazepam         2
G6052001003,Meprobamate,Assay of meprobamate        2
G6053001003,Methadone,Assay of methadone          2
G6054001003,Methsuximide,Assay of methsuximide       2
G6055001003,Nicotine,Assay of nicotine           2
G6056001003,"Opiate(s), drug and metabolites, each procedure",Assay of opiates            2
G6057001003,Phenothiazine,Assay of phenothiazine      2
G6058001003,"Drug confirmation, each procedure",Drug confirmation           2
G8126001003,Patient with a diagnosis of major depression documented as being treated with,Pt treat w/antidepress12wks 0
G8127001003,Patient with a diagnosis of major depression not documented as being treated,Pt not treat w/antidepres12w0
G8128001003,Clinician documented that patient was not an eligible candidate for,Pt inelig for antidepres med0
G8395001003,Left ventricular ejection fraction (lvef) >= 40% or documentation as normal or,Lvef>=40% doc normal or mild0
G8396001003,Left ventricular ejection fraction (lvef) not performed or documented,Lvef not performed          0
G8397001003,"Dilated macular or fundus exam performed, including documentation of the",Dil macula/fundus exam/w doc0
G8398001003,Dilated macular or fundus exam not performed,Dil macular/fundus not perfo0
G8399001003,Patient with documented results of a central dual-energy x-ray absorptiometry,Pt w/dxa results document   0
G8400001003,Patient with central dual-energy x-ray absorptiometry (dxa) results not,Pt w/dxa no results doc     0
G8401001003,Clinician documented that patient was not an eligible candidate for screening,Pt inelig osteo screen measu0
G8404001003,Lower extremity neurological exam performed and documented,Low extemity neur exam docum0
G8405001003,Lower extremity neurological exam not performed,Low extemity neur not perfor0
G8406001003,Clinician documented that patient was not an eligible candidate for lower,Pt inelig lower extrem neuro0
G8410001003,Footwear evaluation performed and documented,Eval on foot documented     0
G8415001003,Footwear evaluation was not performed,Eval on foot not performed  0
G8416001003,Clinician documented that patient was not an eligible candidate for footwear,Pt inelig footwear evaluatio0
G8417001003,Bmi is documented above normal parameters and a follow-up plan is documented,Calc bmi abv up param f/u   0
G8418001003,Bmi is documented below normal parameters and a follow-up plan is documented,Calc bmi blw low param f/u  0
G8419001003,"Bmi documented outside normal parameters, no follow-up plan documented, no",Calc bmi out nrm param nof/u0
G8420001003,Bmi is documented within normal parameters and no follow-up plan is required,Calc bmi norm parameters    0
G8421001003,Bmi not documented and no reason is given,Bmi not calculated          0
G8422001003,"Bmi not documented, documentation the patient is not eligible for bmi",Pt inelig bmi calculation   0
G8427001003,"Eligible clinician attests to documenting in the medical record they obtained,",Docrev cur meds by elig clin0
G8428001003,"Current list of medications not documented as obtained, updated, or reviewed by",Cur meds not document       0
G8430001003,"Documentation of a medical reason(s) for not documenting, updating, or",Doc med rsn no medrec       0
G8431001003,Screening for depression is documented as being positive and a follow-up plan,Pos clin depres scrn f/u doc0
G8432001003,"Depression screening not documented, reason not given","Dep scr not doc, rng        0"
G8433001003,"Screening for depression not completed, documented patient or medical reason",Scr for dep not cpt doc rsn 0
G8442001003,"Pain assessment not documented as being performed, documentation the patient is","Doc pain as nt perf, not elg0"
G8450001003,Beta-blocker therapy prescribed,Beta-bloc rx pt w/abn lvef  0
G8451001003,Beta-blocker therapy for lvef <=40% not prescribed for reasons documented by,Pt w/abn lvef inelig b-bloc 0
G8452001003,Beta-blocker therapy not prescribed,Pt w/abn lvef b-bloc no rx  0
G8458001003,Clinician documented that patient is not an eligible candidate for genotype,Pt inelig geno no antvir tx 0
G8460001003,Clinician documented that patient is not an eligible candidate for quantitative,Pt inelig rna no antvir tx  0
G8461001003,Patient receiving antiviral treatment for hepatitis c during the measurement,Pt rec antivir treat hep c  0
G8464001003,Clinician documented that prostate cancer patient is not an eligible candidate,Pt inelig; lo to no dter rsk0
G8465001003,High or very high risk of recurrence of prostate cancer,High risk recurrence pro ca 0
G8473001003,Angiotensin converting enzyme (ace) inhibitor or angiotensin receptor blocker,Ace/arb thxpy rx'd          0
G8474001003,Angiotensin converting enzyme (ace) inhibitor or angiotensin receptor blocker,Ace/arb not rx'd; doc reas  0
G8475001003,Angiotensin converting enzyme (ace) inhibitor or angiotensin receptor blocker,Ace/arb thxpy not rx'd      0
G8476001003,Most recent blood pressure has a systolic measurement of < 140 mmhg and a,Bp sys <140 and dias <90    0
G8477001003,Most recent blood pressure has a systolic measurement of >= 140 mmhg and/or a,Bp sys>=140 and/or dias >=900
G8478001003,"Blood pressure measurement not performed or documented, reason not given",Bp not performed/doc        0
G8482001003,Influenza immunization administered or previously received,Flu immunize order/admin    0
G8483001003,Influenza immunization was not administered for reasons documented by clinician,Flu imm no admin doc rea    0
G8484001003,"Influenza immunization was not administered, reason not given",Flu immunize no admin       0
G8485001003,I intend to report the diabetes mellitus (dm) measures group,"Report, diabetes measures   0"
G8486001003,I intend to report the preventive care measures group,"Report, prev care measures  0"
G8487001003,I intend to report the chronic kidney disease (ckd) measures group,Report ckd measures         0
G8489001003,I intend to report the coronary artery disease (cad) measures group,Cad measures grp            0
G8490001003,I intend to report the rheumatoid arthritis (ra) measures group,Ra measures grp             0
G8491001003,I intend to report the hiv/aids measures group,Hiv/aids measures grp       0
G8492001003,I intend to report the perioperative care measures group,Periop care measures grp    0
G8493001003,I intend to report the back pain measures group,Back pain measures grp      0
G8494001003,All quality actions for the applicable measures in the diabetes mellitus (dm),Dm meas qual act perform    0
G8495001003,All quality actions for the applicable measures in the chronic kidney disease,Ckd meas qual act perform   0
G8496001003,All quality actions for the applicable measures in the preventive care measures,Prev care mg qual act perfrm0
G8497001003,All quality actions for the applicable measures in the coronary artery bypass,Cabg meas qual act perform  0
G8498001003,All quality actions for the applicable measures in the coronary artery disease,Cad meas qual act perform   0
G8499001003,All quality actions for the applicable measures in the rheumatoid arthritis,Ra meas qual act perform    0
G8500001003,All quality actions for the applicable measures in the hiv/aids measures group,Hiv meas qual act perform   0
G8501001003,All quality actions for the applicable measures in the perioperative care,Perio meas qual act perform 0
G8502001003,All quality actions for the applicable measures in the back pain measures group,Back pain mg qual act perfrm0
G8506001003,Patient receiving angiotensin converting enzyme (ace) inhibitor or angiotensin,Pt rec ace/arb              0
G8509001003,"Pain assessment documented as positive using a standardized tool, follow-up",Pos pain assess no f/u doc  0
G8510001003,"Screening for depression is documented as negative, a follow-up plan is not","Scr dep neg, no plan reqd   0"
G8511001003,"Screening for depression documented as positive, follow-up plan not documented,","Scr dep pos, no plan doc rng0"
G8530001003,Autogenous av fistula received,Auto av fistula recd        0
G8531001003,Clinician documented that patient was not an eligible candidate for autogenous,Pt inelig; auto av fistula  0
G8532001003,Clinician documented that patient received vascular access other than,No auto av fistula; no reas 0
G8535001003,Elder maltreatment screen not documented; documentation that patient is not,Eld maltreatment not doc    0
G8536001003,"No documentation of an elder maltreatment screen, reason not given",No doc elder mal scrn       0
G8539001003,Functional outcome assessment documented as positive using a standardized tool,Doc funct and care plan     0
G8540001003,"Functional outcome assessment not documented as being performed, documentation",Foa not doc as being perf   0
G8541001003,"Functional outcome assessment using a standardized tool not documented, reason",No doc cur funct assess     0
G8542001003,Functional outcome assessment using a standardized tool is documented; no,Doc funct no deficiencies   0
G8543001003,Documentation of a positive functional outcome assessment using a standardized,Cur funct asses; no care pln0
G8544001003,I intend to report the coronary artery bypass graft (cabg) measures group,Cabg measures grp           0
G8545001003,I intend to report the hepatitis c measures group,Hepc measures grp           0
G8547001003,I intend to report the ischemic vascular disease (ivd) measures group,Ivd measures grp            0
G8548001003,I intend to report the heart failure (hf) measures group,Hf measures grp             0
G8549001003,All quality actions for the applicable measures in the hepatitis c measures,Hepc mg qual act perform    0
G8551001003,All quality actions for the applicable measures in the heart failure (hf),Hf mg qual act perform      0
G8552001003,All quality actions for the applicable measures in the ischemic vascular,Ivd mg qual act perform     0
G8559001003,Patient referred to a physician (preferably a physician with training in,Pt ref doc oto eval         0
G8560001003,Patient has a history of active drainage from the ear within the previous 90,Pt hx act drain prev 90 days0
G8561001003,Patient is not eligible for the referral for otologic evaluation for patients,Pt inelig for ref oto eval  0
G8562001003,Patient does not have a history of active drainage from the ear within the,Pt no hx act drain 90 d     0
G8563001003,Patient not referred to a physician (preferably a physician with training in,Pt no ref oto reas no spec  0
G8564001003,Patient was referred to a physician (preferably a physician with training in,Pt ref oto eval             0
G8565001003,Verification and documentation of sudden or rapidly progressive hearing loss,Ver doc hear loss           0
G8566001003,"Patient is not eligible for the ""referral for otologic evaluation for sudden or",Pt inelig ref oto eval      0
G8567001003,Patient does not have verification and documentation of sudden or rapidly,Pt no doc hear loss         0
G8568001003,Patient was not referred to a physician (preferably a physician with training,Pt no ref otolo no spec     0
G8569001003,Prolonged postoperative intubation (> 24 hrs) required,Prol intubation req         0
G8570001003,Prolonged postoperative intubation (> 24 hrs) not required,No prol intub req           0
G8571001003,Development of deep sternal wound infection/mediastinitis within 30 days,Ster wd ifx 30 d postop     0
G8572001003,No deep sternal wound infection/mediastinitis,No ster wd ifx              0
G8573001003,Stroke following isolated cabg surgery,Stk cabg                    0
G8574001003,No stroke following isolated cabg surgery,No strk cabg                0
G8575001003,Developed postoperative renal failure or required dialysis,Postop ren fail             0
G8576001003,No postoperative renal failure/dialysis not required,No postop ren fail          0
G8577001003,"Re-exploration required due to mediastinal bleeding with or without tamponade,",Reop req bld grft oth       0
G8578001003,Re-exploration not required due to mediastinal bleeding with or without,No reop req bld grft oth    0
G8579001003,Antiplatelet medication at discharge,Antplt med disch            0
G8580001003,Antiplatelet medication contraindicated,Antplt med contraind        0
G8581001003,No antiplatelet medication at discharge,No antplt med disch         0
G8582001003,Beta-blocker at discharge,Bblock disch                0
G8583001003,Beta-blocker contraindicated,Bblock contraind            0
G8584001003,No beta-blocker at discharge,No bblock disch             0
G8585001003,Anti-lipid treatment at discharge,Antilipid treat disch       0
G8586001003,Anti-lipid treatment contraindicated,Antlip disch contra         0
G8587001003,No anti-lipid treatment at discharge,No antlipid treat disch     0
G8593001003,"Lipid profile results documented and reviewed (must include total cholesterol,",Lipid pn results            0
G8594001003,"Lipid profile not performed, reason not given",No lipid prof perf          0
G8595001003,Most recent ldl-c < 100 mg/dl,Ldl < 100                   0
G8597001003,Most recent ldl-c >= 100 mg/dl,Ldl >= 100                  0
G8598001003,Aspirin or another antiplatelet therapy used,Asa/antiplat ther used      0
G8599001003,"Aspirin or another antiplatelet therapy not used, reason not given",No asa/antiplat ther use rng0
G8600001003,Iv thrombolytic therapy initiated within 4.5 hours (<= 270 minutes) of time,Tpa initi w/in 4.5 hr       0
G8601001003,Iv thrombolytic therapy not initiated within 4.5 hours (<= 270 minutes) of time,No elig tpa init w/in 4.5 hr0
G8602001003,Iv thrombolytic therapy not initiated within 4.5 hours (<= 270 minutes) of time,No tpa init w/in 4.5 hr     0
G8627001003,Surgical procedure performed within 30 days following cataract surgery for,Surg proc w/in 30 days      0
G8628001003,Surgical procedure not performed within 30 days following cataract surgery for,No surg proc w/in 30 days   0
G8629001003,Documentation of order for prophylactic parenteral antibiotic to be given,Doc antibio order b/4 surg  0
G8630001003,Documentation that administration of prophylactic parenteral antibiotics was,Doc antibio given b/4 surg  0
G8631001003,Clinician documented that patient was not an eligible candidate for ordering,Pt no elg 4 order antbi give0
G8632001003,Prophylactic parenteral antibiotics were not ordered to be given or given,Doc no antibi order b/4 surg0
G8633001003,Pharmacologic therapy (other than minerals/vitamins) for osteoporosis prescribe,dPharm ther osteo rx         0
G8634001003,Clinician documented patient not an eligible candidate to receive pharmacologic,Pt no elg phar ther osteo   0
G8635001003,"Pharmacologic therapy for osteoporosis was not prescribed, reason not given",No pharm ther osteo rx      0
G8645001003,I intend to report the asthma measures group,Asthma measures grp         0
G8646001003,All quality actions for the applicable measures in the asthma measures group,Asthma mg qual act perform  0
G8647001003,Residual score for the knee impairment successfully calculated and the score,Rafscrs ki scor >= 0        0
G8648001003,Residual score for the knee impairment successfully calculated and the score,Rafscrs ki scor < 0         0
G8649001003,Risk-adjusted functional status change residual score for the knee impairment,Rafscrs ki no scor          0
G8650001003,Residual score for the knee impairment not measured because the patient did not,Rafs crs ki no scor no rsn  0
G8651001003,Residual score for the hip impairment successfully calculated and the score was,Rafscrs hi scor >=0         0
G8652001003,Residual score for the hip impairment successfully calculated and the score was,Rafscrs hi scor < 0         0
G8653001003,Risk-adjusted functional status change residual scores for the hip impairment,Rafscrs hi no scor          0
G8654001003,Residual score for the hip impairment not measured because the patient did not,Rafs crs hi no scor no surv 0
G8655001003,"Residual score for the lower leg, foot or ankle impairment successfully",Rafscrs llfai scor >= 0     0
G8656001003,"Residual score for the lower leg, foot or ankle impairment successfully",Rafscrs llfai scor < 0      0
G8657001003,"Risk-adjusted functional status change residual score for the lower leg, foot",Rafscrs llfai no scor       0
G8658001003,"Residual score for the lower leg, foot or ankle impairment not measured because",Rafscrs llfai no scor + surv0
G8659001003,Residual score for the low back impairment successfully calculated and the,Rafscrs lbi scor >= 0       0
G8660001003,Residual score for the low back impairment successfully calculated and the,Rafscrs lbi scor < 0        0
G8661001003,Risk-adjusted functional status change residual score for the low back,Rafscrs lbi no scor         0
G8662001003,Residual score for the low back impairment not measured because the patient did,Rafs crs lbi no scor no surv0
G8663001003,Residual score for the shoulder impairment successfully calculated and the,Rafscrs si scor >= 0        0
G8664001003,Residual score for the shoulder impairment successfully calculated and the,Rafscrs si scor < 0         0
G8665001003,Risk-adjusted functional status change residual score for the shoulder,Rafscrs si no scor          0
G8666001003,Residual score for the shoulder impairment not measured because the patient did,Rafs crs si no scor no surv 0
